Photon_Energy_Kev,Emission_intensity_[%]
304.0,0.0259
304.43,0.034
333.37,0.064
334.8,0.032
334.9,0.055
338.5,0.11
348.92,0.105
351.9,0.068
356.05,0.0068
363.5,0.0077
375.65,0.0041
386.77,0.295
388.89,0.386
394.04,0.0132
396.02,0.027
405.72,0.168
426.5,0.012
428.07,0.0114
439.36,0.0114
452.91,0.03
454.8,0.291
461.06,0.043
469.76,0.132
474.43,0.097
485.93,0.023
486.6,0.022
487.7,0.028
494.21,0.0109
496.89,0.0068
501.97,0.0182
519.9,0.0164
524.6,0.0168
528.3,0.007
536.78,0.065
542.81,0.073
547.21,0.034
572.77,0.078
595.24,0.0173
600.0,0.008
609.321,45.44
615.76,0.055
617.02,0.027
626.4,0.0041
630.81,0.0164
631.2,0.0177
633.09,0.055
634.77,0.0064
639.61,0.032
649.2,0.055
651.5,0.001818
658.76,0.014
660.87,0.047
665.446,1.54
677.41,0.0055
683.21,0.082
687.56,0.0068
693.1,0.0055
697.89,0.06
699.86,0.018
703.1,0.482
704.96,0.047
708.95,0.0123
710.69,0.0741
719.86,0.409
723.01,0.036
727.0,0.036
733.81,0.04
740.77,0.0432
752.84,0.132
768.36,4.89
769.7,0.029
786.35,0.32
788.2,0.015
803.1,0.0045
806.179,1.262
814.92,0.039
821.18,0.164
826.41,0.105
832.37,0.028
840.4,0.01
847.14,0.025
872.95,0.017
878.02,0.011
904.35,0.073
915.73,0.024
917.7,0.005
930.2,0.026
934.056,3.094
934.1,0.049
934.5,0.01
938.65,0.013
939.6,0.02
943.33,0.016
949.8,0.005
952.2,0.0059
961.66,0.0105
964.08,0.373
965.0,0.01
976.18,0.015
989.29,0.008
991.56,0.0095
1013.4,0.013
1021.4,0.015
1032.39,0.064
1033.31,0.02
1038.0,0.0077
1038.0,0.0082
1045.73,0.021
1051.96,0.313
1058.1,0.008
1062.4,0.013
1067.4,0.025
1069.97,0.273
1087.4,0.015
1103.7,0.095
1104.68,0.076
1108.8,0.0068
1118.9,0.039
1120.294,14.9
1130.38,0.037
1133.66,0.254
1155.21,1.634
1155.6,0.015
1156.0,0.007
1167.26,0.0123
1173.01,0.055
1207.68,0.454
1226.7,0.13
1226.8,0.03
1230.6,0.008
1238.122,5.83
1279.0,0.0132
1280.976,1.435
1284.0,0.0118
1285.1,0.016
1303.75,0.105
1316.99,0.082
1321.5,0.0045
1329.94,0.0118
1341.49,0.021
1351.0,0.0068
1353.0,0.0045
1370.5,0.01
1377.669,3.985
1385.31,0.801
1392.5,0.017
1401.515,1.333
1407.988,2.388
1419.7,0.005
1448.85,0.018
1471.1,0.0016
1479.19,0.055
1481.3,0.0009
1483.5,0.013
1509.211,2.127
1515.7,0.018
1538.53,0.436
1543.33,0.309
1583.203,0.708
1594.75,0.273
1594.8,0.005
1598.0,0.006
1599.56,0.327
1636.36,0.0114
1637.0,0.007
1657.04,0.05
1661.274,1.046
1665.86,0.009
1676.1,0.002272
1684.012,0.218
1711.0,0.0018
1717.0,0.0055
1729.595,2.87
1751.6,0.005
1764.491,15.29
1813.73,0.0109
1819.2,0.001363
1838.36,0.35
1847.433,2.027
1873.16,0.214
1890.3,0.084
1896.05,0.15
1898.68,0.05
1935.58,0.03
1994.6,0.007
2004.5,0.0023
2010.8,0.0441
2021.52,0.0214
2052.96,0.069
2085.19,0.0082
2089.65,0.045
2109.98,0.085
2118.513,1.156
2120.0,0.0068
2148.0,0.0136
2160.4,0.0018
2176.52,0.005
2192.58,0.039
2204.1,4.92
2251.55,0.0055
2260.32,0.0086
2266.52,0.0168
2270.9,0.00132
2284.33,0.005
2287.65,0.0045
2293.38,0.309
2310.2,0.0014
2312.45,0.0091
2319.3,0.00041
2325.18,0.00168
2331.38,0.023
2348.0,0.00014
2353.5,0.00036
2360.99,0.00164
2369.56,0.0027
2376.89,0.0091
2390.82,0.00159
2405.1,0.00041
2423.32,0.005
2444.7,0.0077
2447.69,1.545
2472.9,0.0023
2482.8,0.002
2482.8,0.001
2505.46,0.0056
2550.6,0.00032
2553.0,9.09e-05
2562.0,0.00018
2564.0,0.00014
2574.2,0.0004998
2604.5,0.00041
2630.9,0.00086
2662.4,0.00023
2694.66,0.03
2699.21,0.00277
2719.32,0.00177
2769.92,0.0245
2785.93,0.0055
2826.96,0.0024
2861.1,0.00041
2880.35,0.01
2893.59,0.0059
2921.97,0.0136
2928.53,0.00109
2934.54,0.00045
2940.0,0.0036
2978.94,0.0136
3000.0,0.0086
3053.9,0.0209
3081.79,0.0059
3094.0,0.00059
3136.3,0.00036
3142.6,0.00123
3149.0,8.63e-05
3160.7,0.00055
3183.6,0.00136
3233.2,0.00023
3269.7,0.00018
